[-6.128521  5.376822] 
[ 5.0762963 -4.4385552] 
[ 4.919135  -4.1970577] 
[ 5.5500307 -4.837213 ] 
[-1.8277521  1.5554018] 
[ 5.5609117 -4.8979015] 
[ 5.7815347 -5.0719643] 
[ 5.0577574 -4.21806  ] 
[ 4.321689  -3.6926496] 
[-1.3848684  1.2486267] 
[ 5.6748266 -4.957198 ] 
[ 5.8166156 -5.1018167] 
[ 3.521464  -2.8968997] 
[ 5.6772747 -4.9548054] 
[ 5.0613384 -4.3297715] 
[ 5.4176717 -4.7586584] 
[ 5.2537403 -4.5796294] 
[ 5.0106993 -4.305145 ] 
[ 1.6431866 -1.2460248] 
[ 4.5113597 -3.7951782] 
[ 5.061471 -4.268404] 
[ 5.6406183 -4.9374123] 
[ 5.173276  -4.5930405] 
[ 5.419118 -4.651387] 
[ 5.2032666 -4.444073 ] 
[ 5.426568  -4.7808766] 
[ 5.7191    -5.0213175] 
[ 5.2914634 -4.576728 ] 
[ 4.0794854 -3.3173025] 
[ 1.9094045 -1.4819566] 
[ 3.5553591 -2.8979309] 
[ 3.6100104 -2.915872 ] 
[ 5.437197  -4.7241817] 
[ 5.004602 -4.264603] 
[ 5.364231 -4.614162] 
[ 5.2055974 -4.4934425] 
[ 4.2372055 -3.6640441] 
[ 5.2716   -4.479937] 
[ 5.333745 -4.676076] 
[ 5.617092  -4.8841267] 
[ 3.7121956 -3.0909474] 
[ 5.105083  -4.3173537] 
[-1.1460704   0.96318007] 
[ 4.7582436 -3.926798 ] 
[ 5.411778 -4.723282] 
[ 4.753508 -4.059086] 
[ 5.306417 -4.640532] 
[ 3.3070953 -2.974124 ] 
[ 3.418477  -2.6851337] 
[ 5.2220216 -4.531853 ] 
[ 4.817032  -4.1042337] 
[ 3.520975  -3.1303105] 
[ 4.808329 -4.082549] 
[ 5.48121   -4.7354627] 
[ 5.1970387 -4.57039  ] 
[ 0.4349647 -0.3818294] 
[ 5.1353526 -4.3828983] 
[ 2.002971  -1.6081041] 
[ 1.1519774 -1.0438023] 
[ 2.9080026 -2.2930639] 
[ 5.013997  -4.1767783] 
[ 5.76703   -5.0552654] 
[ 5.6767335 -5.002003 ] 
[ 5.321019  -4.6550136] 
[ 4.715804 -4.029675] 
[ 4.3243046 -3.6613934] 
[ 1.9087828 -1.4166322] 
[ 5.88733   -5.1661096] 
[ 5.4558973 -4.7333694] 
[ 5.0590115 -4.3473563] 
[ 4.3435616 -3.6270359] 
[ 5.26645  -4.592963] 
[ 5.366058  -4.6081786] 
[ 5.2099943 -4.588021 ] 
[ 5.3422823 -4.560195 ] 
[ 5.009937 -4.369709] 
[ 5.4705195 -4.786268 ] 
[-2.562381   2.2389045] 
[ 2.5374296 -1.9544028] 
[ 5.2743707 -4.540615 ] 
[ 5.403913 -4.702023] 
[ 4.721183 -4.045297] 
[ 4.61249   -3.8124294] 
[ 4.116675  -3.4265964] 
[ 1.1564928 -0.9476894] 
[ 5.183715  -4.4870715] 
[ 5.397469 -4.765015] 
[ 4.8368196 -4.2162843] 
[ 5.792661  -5.0839634] 
[ 4.6185207 -3.794441 ] 
[ 5.624755 -4.867278] 
[ 1.8881891 -1.5768663] 
[ 4.4223247 -3.7725427] 
[ 4.9866157 -4.241868 ] 
[ 5.124949 -4.329476] 
[ 5.3100224 -4.53325  ] 
[ 4.516039 -3.876315] 
[ 4.7558775 -4.055009 ] 
[ 5.0135508 -4.298497 ] 
[ 4.1461864 -3.3467822] 
[ 5.044811 -4.400718] 
[ 5.2711544 -4.5799184] 
[ 2.8743215 -2.4589465] 
[-5.5407686  4.984117 ] 
[ 3.071385  -2.5238001] 
[ 5.1881633 -4.4044256] 
